price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement
975000.0,4,2.5,2720,11049,2.0,3,2720,0
287000.0,4,2.5,2240,4648,2.0,3,2240,0
204000.0,3,1.0,1000,12070,1.0,4,1000,0
1325000.0,5,2.25,3200,20158,1.0,3,1600,1600
1040000.0,5,3.25,4770,50094,1.0,4,3070,1700
325000.0,3,2.0,1260,5612,1.0,4,1260,0
571000.0,4,2.0,2750,7807,1.5,5,2250,500
360000.0,4,2.5,2380,5000,2.0,3,2380,0
349000.0,3,1.75,1790,50529,1.0,5,1090,700
832500.0,4,4.0,3430,35102,2.0,4,2390,1040
380000.0,4,1.75,1760,7300,1.0,3,880,880
480000.0,3,1.0,1040,5060,1.0,3,1040,0
410000.0,3,1.0,1410,5060,1.0,4,910,500
720000.0,4,2.5,3450,39683,2.0,3,3450,0
390000.0,3,2.5,2350,5100,2.0,3,2350,0
360000.0,4,2.5,1900,5889,2.0,3,1900,0
355000.0,2,1.0,2020,6720,1.0,3,1010,1010
356000.0,3,1.5,1680,8712,1.0,3,1680,0
315000.0,3,1.0,960,6634,1.0,3,960,0
940000.0,3,1.5,2140,3600,2.0,3,1900,240
305000.0,5,2.25,2660,8400,1.5,5,2660,0
461000.0,3,3.25,2770,6278,2.0,3,1980,790
215000.0,2,2.25,1610,2040,2.0,4,1610,0
335000.0,2,1.75,1030,1066,2.0,3,765,265
243500.0,4,2.5,1980,7403,2.0,3,1980,0
1099880.0,5,2.75,3520,6353,2.0,4,3520,0
153000.0,3,1.0,1200,10500,1.0,3,1200,0
430000.0,3,1.5,1580,5000,1.0,3,1290,290
700000.0,3,1.5,1580,5000,1.0,3,1290,290
905000.0,4,2.5,3300,10250,1.0,3,2390,910
247500.0,3,1.75,1960,15681,1.0,3,1960,0
199000.0,4,1.5,1160,6400,1.0,4,1160,0
314000.0,3,1.75,1810,41800,1.0,5,1210,600
437500.0,3,2.5,2320,36847,2.0,3,2320,0
850830.0,3,2.5,2070,13241,1.5,5,1270,800
555000.0,3,2.0,1980,3478,1.5,4,1440,540
699950.0,3,2.25,2190,107593,2.0,4,2190,0
1088000.0,3,2.5,2920,8113,2.0,3,2920,0
290000.0,3,1.0,1210,33919,1.0,3,1210,0
375000.0,3,2.5,2340,10005,1.0,4,1460,880
460000.0,3,1.0,1670,4005,1.5,4,1170,500
188500.0,2,1.75,1240,2493,1.0,4,1240,0
680000.0,4,2.5,3140,28037,2.0,4,3140,0
470000.0,5,1.75,2030,12342,2.0,4,2030,0
597750.0,4,2.5,2310,9624,2.0,3,2310,0
570000.0,3,1.75,1260,3328,1.0,5,700,560
272500.0,3,1.75,1540,12600,1.0,4,1160,380
329950.0,3,1.75,2080,5969,1.0,3,1080,1000
480000.0,4,2.5,3230,16171,2.0,3,2520,710
740500.0,3,3.5,4380,6350,2.0,3,2780,1600
518500.0,3,3.5,1590,1102,3.0,3,1590,0
205425.0,2,1.0,880,6780,1.0,4,880,0
171800.0,4,2.0,1570,9600,1.0,3,1570,0
535000.0,4,1.0,1610,2982,1.5,4,1610,0
660000.0,3,2.5,2400,6474,1.0,3,1560,840
391500.0,3,2.0,1450,9132,1.0,3,1450,0
395000.0,2,1.0,770,6000,1.0,3,770,0
445000.0,4,1.75,2100,4400,1.5,5,1720,380
770000.0,3,2.25,2910,10204,2.0,3,2910,0
1450000.0,4,2.75,2750,17789,1.5,3,1980,770
445000.0,3,2.25,2100,8201,1.0,3,1620,480
260000.0,4,2.25,2160,8811,1.0,3,1360,800
822500.0,5,3.5,2320,4960,2.0,5,1720,600
430000.0,4,2.5,2070,4310,2.0,3,2070,0
212000.0,3,1.75,1060,7875,1.0,4,1060,0
660500.0,4,2.25,2010,9603,1.0,3,1440,570
784000.0,3,3.5,3950,111078,1.5,3,2460,1490
453246.0,3,2.5,2010,2287,2.0,3,1390,620
675000.0,4,3.5,2140,2278,3.0,3,2140,0
199000.0,3,1.75,1320,17390,1.0,4,1320,0
220000.0,4,1.75,2020,7840,1.0,3,1010,1010
452000.0,4,2.25,2590,10002,1.0,4,1340,1250
382500.0,2,1.0,1190,4440,1.0,3,1190,0
519950.0,3,2.25,1170,1249,3.0,3,1170,0
665000.0,2,1.0,1110,3200,1.0,3,1110,0
527700.0,5,2.5,2820,9375,1.0,4,1550,1270
205000.0,3,1.0,1610,8579,1.0,4,1010,600
420000.0,3,1.0,1060,8097,1.0,4,940,120
500000.0,4,2.25,2030,8517,1.0,4,1380,650
921500.0,4,2.5,3670,315374,2.0,4,3670,0
890000.0,4,1.0,2550,4000,2.0,3,2370,180
430000.0,2,2.5,2420,60984,2.0,3,2420,0
258000.0,5,2.0,2260,12500,1.0,4,1130,1130
511000.0,3,1.0,1430,3455,1.0,3,980,450
532170.0,3,2.0,1360,3090,2.0,3,1360,0
560000.0,3,1.0,1110,5000,1.5,3,1110,0
282950.0,3,1.0,1250,8200,1.0,4,1250,0
2250000.0,4,3.25,5180,19850,2.0,3,3540,1640
350000.0,1,1.0,700,5100,1.0,3,700,0
215000.0,3,1.0,1180,7669,1.0,4,1180,0
650000.0,5,3.5,3960,25245,2.0,3,2500,1460
320000.0,4,2.75,2640,7500,1.0,3,1620,1020
247000.0,3,2.0,1270,7198,1.5,3,1270,0
320000.0,4,1.75,1760,11180,1.0,4,1760,0
255000.0,5,2.25,2060,8632,1.0,3,1030,1030
438000.0,3,1.75,1780,9660,1.0,3,1780,0
900000.0,3,2.5,3400,16603,2.0,3,3400,0
441000.0,3,2.75,1910,7280,1.0,3,1160,750
420000.0,3,2.0,2020,38332,1.0,4,1010,1010
370000.0,3,1.75,1580,7000,1.0,3,1180,400
269950.0,2,1.75,1340,7250,1.0,5,700,640
807100.0,4,2.5,2680,4499,2.0,3,2680,0
653000.0,3,2.5,2680,9750,1.0,4,1610,1070
371500.0,3,2.0,1370,8336,1.0,5,1370,0
284000.0,3,1.75,1560,21000,1.0,3,1560,0
272000.0,3,1.75,2160,7140,1.0,4,1670,490
313000.0,3,1.5,1340,7912,1.5,3,1340,0
917500.0,4,2.5,3880,35003,2.0,3,2570,1310
673000.0,4,2.25,2590,8190,2.0,4,2590,0
425000.0,3,2.5,1120,1100,2.0,3,820,300
399950.0,5,2.75,1970,5400,1.0,3,1320,650
385000.0,3,1.0,1220,4800,1.0,3,1220,0
269950.0,3,1.5,1950,7560,1.0,4,1320,630
330000.0,2,1.0,1350,8220,1.0,3,1060,290
260000.0,3,2.5,1670,5797,2.0,3,1670,0
470000.0,4,3.0,2380,5125,1.5,4,1680,700
589000.0,4,3.0,2440,9600,2.0,5,2440,0
163500.0,2,1.5,1050,3419,2.0,3,1050,0
835000.0,4,2.75,3130,13412,2.0,3,2140,990
1095000.0,5,3.0,4090,12850,1.0,4,2090,2000
269000.0,4,1.75,1490,10000,1.0,4,1100,390
560000.0,3,2.5,1900,8744,2.0,3,1900,0
615000.0,4,1.0,1330,2400,1.5,4,1330,0
585188.0,3,2.25,2230,10026,1.0,3,1430,800
305000.0,3,1.75,1650,9480,1.0,3,1220,430
166950.0,3,1.0,1190,8820,1.0,3,1190,0
799000.0,3,2.5,2140,9897,1.0,4,2140,0
400000.0,3,2.5,2180,7508,1.0,4,1420,760
230000.0,3,1.0,1060,10228,1.0,3,1060,0
256883.0,3,2.5,1690,5025,2.0,3,1690,0
423000.0,4,2.0,1970,6480,1.5,5,1130,840
465000.0,3,2.5,2150,4084,2.0,3,2150,0
440000.0,3,2.5,1910,66211,2.0,3,1910,0
385000.0,3,1.75,1350,155073,1.0,4,1350,0
210000.0,3,1.0,860,11725,1.0,4,860,0
297000.0,3,2.5,1940,14952,2.0,3,1940,0
470000.0,3,1.0,1010,5000,1.0,3,1010,0
226500.0,3,1.5,1300,7370,1.0,4,900,400
274250.0,3,1.0,910,8450,1.0,4,910,0
840000.0,4,1.75,2480,11010,1.0,4,1630,850
677900.0,3,2.5,2440,4587,2.0,3,2440,0
425000.0,3,1.0,1010,5864,1.0,3,1010,0
180250.0,2,0.75,900,9600,1.0,3,900,0
464000.0,6,3.0,2300,3404,2.0,3,1600,700
320000.0,4,2.25,1550,7579,2.0,3,1550,0
625504.0,3,2.25,1270,1566,2.0,3,1060,210
592500.0,4,2.5,2240,12032,1.0,3,2240,0
465000.0,3,2.5,2714,17936,2.0,3,2714,0
477000.0,4,2.75,1720,6270,2.0,3,1720,0
280000.0,2,1.0,850,16400,1.0,3,850,0
1505000.0,5,3.0,3300,33474,1.0,3,1870,1430
445838.0,3,2.5,2250,5692,2.0,3,2250,0
1072000.0,2,2.25,3900,14864,1.0,3,1950,1950
467000.0,2,1.5,1320,10800,1.0,4,1320,0
686000.0,4,2.5,2760,6440,2.0,3,2760,0
279950.0,3,2.0,1750,9750,1.0,3,1350,400
527000.0,4,2.25,2330,19436,2.0,3,2330,0
325000.0,3,2.25,2220,16020,1.0,4,1780,440
328000.0,3,2.25,2020,8379,2.0,3,2020,0
390000.0,3,2.25,1250,7500,1.0,5,1250,0
479950.0,2,2.0,1510,6516,1.0,3,1510,0
264950.0,4,2.25,1720,9753,1.0,4,1120,600
235000.0,3,1.0,1430,15246,1.0,4,980,450
516500.0,3,2.5,1480,4729,2.0,3,1480,0
655000.0,2,1.75,1450,15798,2.0,3,1230,220
500000.0,4,2.75,2280,15347,1.0,5,2280,0
315000.0,6,2.75,2940,7350,1.0,3,1780,1160
213000.0,2,1.0,1000,10200,1.0,3,1000,0
475000.0,3,1.5,2480,5280,1.5,5,1620,860
1025000.0,5,4.0,3760,28040,2.0,3,3760,0
416000.0,3,2.0,2220,94300,1.0,5,1640,580
410000.0,4,1.0,1970,4740,1.5,3,1670,300
800000.0,3,3.5,3830,221284,2.0,3,3530,300
472000.0,6,2.5,4410,14034,1.0,4,2350,2060
225000.0,3,1.75,1430,8505,1.0,4,1430,0
210000.0,2,1.0,830,6000,1.0,3,830,0
455000.0,2,1.0,1430,5000,1.5,2,1430,0
225000.0,3,1.0,1300,8316,1.0,4,1300,0
480000.0,2,1.0,1030,3060,1.0,4,790,240
363000.0,3,2.5,2740,11872,2.0,3,2740,0
2400000.0,4,2.5,3650,8354,1.0,3,1830,1820
181000.0,2,1.5,720,5120,1.0,3,720,0
250000.0,4,2.0,2010,7312,1.0,4,2010,0
481000.0,3,1.75,1560,3000,1.0,4,770,790
260000.0,3,2.0,1810,7209,1.0,4,1240,570
455000.0,4,2.5,3360,7685,2.0,3,3360,0
415000.0,3,2.25,1510,36224,2.0,3,1510,0
349500.0,3,1.0,1400,3538,1.0,3,800,600
245000.0,3,2.5,1730,7442,2.0,3,1730,0
592500.0,2,2.0,1420,9191,1.5,5,1420,0
385000.0,4,1.75,2360,7620,1.0,4,1180,1180
315000.0,3,1.75,1580,11455,1.0,4,1200,380
255000.0,3,1.0,1230,10170,1.0,3,1230,0
693000.0,4,2.5,2460,4425,2.0,3,2460,0
780000.0,3,1.0,1660,4400,1.5,3,1460,200
237000.0,3,1.75,1270,8470,1.0,4,1270,0
525000.0,3,2.25,2100,40510,2.0,3,1320,780
425000.0,2,1.0,770,5040,1.0,3,770,0
369900.0,1,0.75,760,10079,1.0,5,760,0
290000.0,4,2.5,1700,7280,2.0,4,1700,0
285000.0,3,1.0,1120,10701,1.0,3,1120,0
415000.0,2,1.0,1070,4500,1.0,3,1070,0
272500.0,3,2.5,2070,9900,1.0,3,1420,650
2900000.0,4,3.25,5050,20100,1.5,3,4750,300
1365000.0,4,4.75,5310,57346,2.0,4,5310,0
436000.0,2,1.0,1040,7538,1.0,4,1040,0
210000.0,3,1.0,1700,11390,1.0,4,1700,0
236000.0,3,1.0,1300,5898,1.0,3,1300,0
331000.0,3,1.75,1080,1306,1.0,3,580,500
365000.0,3,2.5,2653,4510,2.0,3,2653,0
450000.0,3,2.0,2290,16258,1.0,5,2290,0
770000.0,4,2.75,3820,26300,2.0,3,2850,970
455000.0,4,2.5,2210,49375,1.0,3,2210,0
405000.0,3,1.75,2390,6000,1.0,3,1240,1150
304900.0,4,1.75,2600,11325,1.0,4,1610,990
170000.0,2,1.0,860,5265,1.0,3,860,0
2050000.0,5,3.0,3830,8480,2.0,5,2630,1200
780000.0,4,2.5,3500,7048,2.0,3,3500,0
330000.0,3,3.0,2420,13959,1.0,4,1740,680
370000.0,4,2.5,2720,8666,2.0,3,2720,0
467000.0,5,2.25,2500,13500,1.0,3,1850,650
405000.0,3,1.75,1670,6720,1.0,3,1140,530
675000.0,5,2.25,2900,10300,1.0,3,1450,1450
500000.0,2,1.0,1640,14100,1.0,4,1140,500
389999.0,4,2.5,1890,15770,2.0,4,1890,0
630000.0,4,1.75,2950,9025,1.0,4,1780,1170
360000.0,4,2.5,2160,9528,2.0,3,2160,0
580000.0,4,3.0,3280,11060,2.0,3,2270,1010
550000.0,3,2.0,1970,4166,2.0,5,1270,700
879000.0,4,2.5,3360,22111,2.0,3,3360,0
265000.0,3,2.0,1320,8959,1.0,3,1320,0
446500.0,3,2.5,2650,7286,2.0,3,2650,0
404000.0,3,1.5,2030,8880,1.0,3,1330,700
267500.0,3,1.75,1590,11914,1.0,3,1090,500
3075000.0,4,5.0,4550,18641,1.0,3,2600,1950
335000.0,3,2.5,2440,7632,2.0,3,2440,0
576000.0,3,2.5,1940,9000,1.0,4,970,970
208633.0,3,2.5,2040,3810,2.0,3,2040,0
315000.0,3,2.25,2200,8750,1.0,4,1120,1080
725000.0,3,1.75,1920,3300,1.0,4,960,960
550000.0,4,2.75,1800,7750,1.0,4,1400,400
610750.0,4,2.25,2180,7297,2.0,3,2180,0
550700.0,2,1.0,1010,5000,1.5,4,1010,0
665000.0,4,2.75,3320,10574,2.0,5,2220,1100
834000.0,4,2.5,2370,4000,1.5,5,1980,390
201000.0,5,1.75,1660,78408,1.5,3,1660,0
2384000.0,5,2.5,3650,9050,2.0,5,3370,280
1384000.0,4,3.25,4290,12103,1.0,3,2690,1600
1400000.0,4,3.25,4290,12103,1.0,3,2690,1600
305000.0,4,2.25,1950,7700,1.0,3,1350,600
487000.0,3,2.0,2590,14052,1.0,5,1720,870
390000.0,3,2.5,1930,64904,1.0,4,1930,0
548000.0,2,1.0,1470,3864,1.0,4,1170,300
268750.0,4,1.0,800,8775,1.0,3,800,0
819900.0,5,2.75,3150,7119,2.0,3,3150,0
520000.0,3,2.25,2030,16200,2.0,3,2030,0
230000.0,3,2.0,1450,11204,1.0,3,1450,0
240000.0,3,1.75,1510,10248,1.0,3,1510,0
232000.0,2,1.0,1240,12092,1.0,3,960,280
240500.0,2,1.0,1240,12092,1.0,3,960,280
274975.0,3,2.5,3030,45004,2.0,3,3030,0
740000.0,4,2.0,2050,4400,1.5,4,2050,0
186375.0,3,1.0,1000,7636,1.0,2,1000,0
790000.0,3,2.25,2370,10289,1.0,4,1590,780
880000.0,4,3.5,2800,6750,2.0,3,1890,910
279000.0,6,1.75,2240,11180,2.0,4,2240,0
295000.0,3,2.0,1810,10530,1.0,3,1810,0
640000.0,2,1.0,1070,5000,1.0,3,1070,0
940000.0,4,2.0,2490,9525,2.0,5,2490,0
260000.0,4,2.5,1960,5238,2.0,3,1960,0
559900.0,3,2.75,2930,5569,1.0,3,1860,1070
791500.0,4,2.0,1510,3500,1.5,5,1510,0
265000.0,3,1.75,1420,8250,1.0,3,1420,0
245000.0,3,1.75,1740,11547,1.0,3,1740,0
485000.0,4,1.75,2560,43995,2.0,4,2560,0
684000.0,4,3.5,3040,8414,2.0,3,2420,620
425000.0,3,1.75,2500,6840,1.0,3,1300,1200
309600.0,4,1.75,1275,20000,1.0,4,1275,0
552250.0,4,2.5,2580,5823,2.0,3,2580,0
165000.0,4,1.0,1000,7134,1.0,3,1000,0
239900.0,4,1.0,1000,7134,1.0,3,1000,0
320000.0,2,1.0,1070,32633,1.0,4,1070,0
206600.0,3,2.0,1390,13464,1.0,4,1390,0
387000.0,4,1.75,2500,7690,1.0,3,1250,1250
299000.0,1,0.75,560,12120,1.0,3,560,0
855000.0,4,2.75,2270,10460,2.0,3,2270,0
315000.0,3,1.0,1900,14400,1.0,4,1300,600
437500.0,2,1.0,990,3120,1.0,5,790,200
252000.0,4,1.5,1550,19800,1.0,4,1050,500
375000.0,4,1.75,2200,7475,1.0,5,1100,1100
300000.0,4,2.5,1910,4862,2.0,3,1910,0
420000.0,4,1.0,1750,9600,1.5,4,1750,0
900000.0,3,1.0,1330,77972,1.0,3,1330,0
679900.0,3,2.5,2440,5750,2.0,3,1980,460
463000.0,3,2.5,1640,29970,2.0,3,1640,0
380000.0,5,2.5,2760,11340,2.0,4,2760,0
329500.0,4,2.5,1820,7912,2.0,3,1820,0
604950.0,3,2.5,2110,5608,1.0,3,1340,770
795000.0,5,2.5,3040,9570,1.0,4,1640,1400
465000.0,3,2.0,1840,40438,2.0,3,1840,0
673000.0,4,2.5,2990,10400,2.0,3,2990,0
810000.0,4,2.5,3520,15420,2.0,3,3520,0
785000.0,4,2.75,2440,69415,1.0,4,1910,530
338000.0,4,3.0,2090,7500,1.0,3,1370,720
280000.0,3,2.25,1430,7222,2.0,3,1430,0
315000.0,4,2.25,2180,10754,1.0,5,1100,1080
530000.0,4,2.25,2180,10754,1.0,5,1100,1080
380000.0,5,3.0,3450,9914,2.0,3,3450,0
297000.0,3,2.25,1450,7562,2.0,3,1450,0
730000.0,4,2.5,3230,7331,2.0,3,3230,0
450000.0,3,1.75,1640,13500,1.0,3,1110,530
275000.0,3,3.0,1590,7750,1.0,3,1060,530
595000.0,4,2.0,2020,2849,2.0,3,2020,0
435000.0,3,1.5,1300,3348,1.5,3,1300,0
270000.0,2,1.5,1380,209959,1.0,1,1380,0
950000.0,3,3.0,4040,14338,2.0,3,3030,1010
389000.0,4,2.25,2130,5337,2.0,3,2130,0
560000.0,4,2.25,2550,7800,1.0,3,1580,970
1350000.0,5,3.5,4800,14984,2.0,3,3480,1320
799000.0,4,2.25,2510,11585,2.0,4,2510,0
365500.0,3,2.0,1410,9600,1.0,4,1410,0
252350.0,3,2.0,1650,7352,1.0,3,1160,490
403950.0,4,2.5,2120,13780,2.0,3,2120,0
385000.0,4,1.5,2040,10726,1.0,3,1380,660
345000.0,4,1.0,1550,7620,1.5,3,1550,0
490000.0,3,2.75,1980,3128,2.0,4,1980,0
330000.0,3,2.5,1600,26977,2.0,3,1600,0
927000.0,4,2.75,3300,12090,2.0,3,3300,0
1118000.0,4,2.5,3840,16619,2.0,4,3840,0
330000.0,2,1.0,1220,10000,1.0,5,1220,0
530000.0,5,2.25,2720,8800,1.0,4,1500,1220
365000.0,4,2.0,1940,25600,1.0,1,1940,0
378750.0,3,2.5,2160,3000,1.5,3,1260,900
269900.0,4,1.75,1530,8750,1.5,4,1530,0
557000.0,3,3.5,1710,2096,2.0,3,1290,420
360000.0,4,1.75,3730,16980,1.0,4,2150,1580
352000.0,2,1.0,940,5000,1.0,4,940,0
437000.0,3,2.5,1750,22357,2.0,3,1750,0
322500.0,4,2.5,1820,6753,2.0,3,1820,0
650000.0,3,3.25,1510,2000,2.0,3,1330,180
450000.0,3,2.0,1290,1213,3.0,3,1290,0
278500.0,3,2.0,1570,5250,1.0,3,1570,0
364950.0,4,2.5,1930,6957,2.0,3,1930,0
840000.0,4,3.5,2840,40139,1.0,4,2840,0
268000.0,3,2.5,1550,8134,2.0,3,1550,0
517534.0,2,1.0,833,143947,1.0,3,833,0
632925.0,3,2.5,2990,32239,2.0,4,2990,0
577500.0,3,2.5,2000,7251,2.0,3,2000,0
339000.0,4,1.5,2390,7480,1.5,3,2390,0
570000.0,3,1.75,2910,37461,1.0,4,1530,1380
563500.0,4,1.75,2085,174240,1.0,3,1610,475
423000.0,4,2.25,2200,9351,1.0,5,1290,910
355000.0,3,2.25,1860,5028,2.0,3,1860,0
1550000.0,5,4.25,6070,171626,2.0,3,6070,0
482000.0,2,1.0,950,3960,1.0,3,950,0
625000.0,3,1.75,1600,9135,1.0,5,1600,0
538000.0,3,2.5,2250,11632,2.0,3,2250,0
380000.0,3,2.5,2280,10255,2.0,4,2280,0
375000.0,2,1.0,940,5120,1.0,3,940,0
245000.0,3,2.5,1530,8500,1.0,5,1030,500
310000.0,5,1.75,2190,27260,1.0,4,2190,0
1300000.0,3,2.0,2350,15021,1.0,4,1770,580
397000.0,4,2.0,1440,7680,1.0,3,1200,240
365000.0,3,2.5,2200,4052,2.0,3,2200,0
328500.0,4,3.0,2290,8250,2.0,3,2290,0
988000.0,4,3.0,4040,19700,2.0,3,4040,0
1000000.0,4,2.5,2610,3277,1.5,5,1920,690
237000.0,3,2.5,1490,2138,2.0,3,1490,0
525000.0,4,2.5,2450,5280,2.0,3,2450,0
749000.0,4,2.5,1710,9627,1.0,3,1440,270
722500.0,5,2.5,4870,11800,2.0,3,3470,1400
843000.0,3,2.5,3130,8750,2.0,3,3130,0
438000.0,2,2.0,1270,1372,3.0,3,1270,0
578000.0,3,1.75,2120,10875,1.0,3,1540,580
227950.0,3,1.5,1670,8230,1.0,5,1670,0
196000.0,3,2.25,2070,11576,2.0,3,2070,0
641000.0,2,1.0,1420,5332,1.0,3,1070,350
350000.0,3,1.5,1250,219978,1.0,4,1250,0
205000.0,3,1.0,940,7980,1.0,4,940,0
400000.0,3,1.75,1920,9102,1.0,3,1920,0
1030000.0,3,2.5,3545,9816,1.0,3,2610,935
505000.0,3,2.0,1260,5460,1.0,3,1260,0
475000.0,5,2.5,2340,7200,1.0,3,1300,1040
520000.0,3,2.25,2590,9263,1.0,5,1440,1150
1450000.0,3,4.5,3970,24920,2.0,3,3260,710
333500.0,3,1.75,1220,9732,1.0,3,1220,0
232000.0,3,1.0,1400,10403,1.0,4,1400,0
691100.0,3,2.75,2360,16117,1.0,4,1710,650
811000.0,3,1.75,1870,9897,1.0,4,1870,0
551000.0,3,2.5,2830,5802,2.0,3,2830,0
496500.0,3,2.5,2260,3640,2.0,3,2260,0
705000.0,3,3.0,1970,20978,2.0,4,1770,200
578000.0,4,2.5,3140,9225,1.0,5,1770,1370
255000.0,3,1.75,1240,8659,1.0,5,1240,0
1050000.0,4,3.5,3450,7832,2.0,3,3450,0
348000.0,3,2.25,2570,8491,2.0,4,2570,0
230000.0,3,2.0,1510,3413,2.0,3,1510,0
359500.0,4,2.25,2390,11250,2.0,3,2390,0
330000.0,3,1.0,980,7000,1.0,3,980,0
80000.0,1,0.75,430,5050,1.0,2,430,0
465000.0,3,1.75,1480,6360,1.0,3,1480,0
325000.0,4,2.5,1850,7324,2.0,3,1850,0
340500.0,3,2.0,2270,28025,1.0,4,1920,350
342500.0,3,2.5,1810,5192,2.0,3,1810,0
290900.0,2,2.0,1610,17600,2.0,3,1610,0
868700.0,3,4.25,3840,6161,2.0,3,3840,0
1199000.0,4,2.75,4110,8400,2.0,3,3130,980
1150000.0,4,3.25,4190,10259,2.0,3,3150,1040
859900.0,4,2.75,3390,6298,2.0,3,3390,0
520000.0,4,2.25,1890,3006,2.0,3,1890,0
460000.0,3,2.5,1610,2527,2.0,3,1080,530
438924.0,3,1.5,1050,4590,1.0,3,850,200
315000.0,2,1.0,630,6550,1.0,3,630,0
590000.0,4,2.75,2910,10650,1.0,3,1780,1130
378500.0,4,1.75,1700,8640,1.0,3,850,850
328500.0,3,2.5,1950,8130,2.0,4,1950,0
849950.0,3,3.0,2990,9773,2.0,4,2990,0
525000.0,3,1.5,1350,6000,1.0,3,900,450
1385000.0,4,3.25,4860,181319,2.5,3,4860,0
295000.0,4,2.5,2160,7725,1.0,4,1460,700
1067000.0,6,3.5,4860,11793,2.0,3,3860,1000
207950.0,2,2.0,890,5000,1.0,3,890,0
699900.0,4,2.75,2810,7302,2.0,3,2810,0
1280000.0,5,2.5,3400,9500,2.0,4,3400,0
452000.0,4,1.5,1580,7350,1.0,4,960,620
370000.0,3,2.0,1680,5036,1.0,4,1680,0
232000.0,3,1.75,1300,11230,1.0,5,1300,0
669950.0,5,2.5,2820,14062,2.0,4,2380,440
397500.0,3,2.0,1510,6710,1.0,3,1070,440
490000.0,2,2.5,1230,1391,2.0,3,870,360
